tanggal,prec
01-01-2020,14.0
02-01-2020,15.1
03-01-2020,2.7
04-01-2020,32.8
05-01-2020,3.7
06-01-2020,20.4
07-01-2020,31.0
08-01-2020,36.0
09-01-2020,11.5
10-01-2020,4.4
11-01-2020,5.1
12-01-2020,10.5
13-01-2020,0.0
14-01-2020,9.8
15-01-2020,0.0
16-01-2020,12.8
17-01-2020,0.2
18-01-2020,12.8
19-01-2020,0.0
20-01-2020,0.0
21-01-2020,12.8
22-01-2020,0.0
23-01-2020,12.8
24-01-2020,0.0
25-01-2020,0.0
26-01-2020,103.0
27-01-2020,12.8
28-01-2020,0.0
29-01-2020,0.0
30-01-2020,12.8
31-01-2020,0.0
01-02-2020,1.0
02-02-2020,1.0
03-02-2020,3.5
04-02-2020,56.0
05-02-2020,36.0
06-02-2020,10.3
07-02-2020,5.0
08-02-2020,31.3
09-02-2020,18.2
10-02-2020,0.6
11-02-2020,18.2
12-02-2020,0.2
13-02-2020,18.2
14-02-2020,0.0
15-02-2020,18.2
16-02-2020,18.2
17-02-2020,18.2
18-02-2020,3.6
19-02-2020,6.0
20-02-2020,101.2
21-02-2020,34.4
22-02-2020,18.2
23-02-2020,30.0
24-02-2020,6.0
25-02-2020,11.0
26-02-2020,18.2
27-02-2020,5.9
28-02-2020,13.0
29-02-2020,6.4
01-03-2020,44.7
02-03-2020,37.7
03-03-2020,9.6
04-03-2020,30.8
05-03-2020,27.0
06-03-2020,9.6
07-03-2020,3.8
08-03-2020,3.3
09-03-2020,4.3
10-03-2020,9.6
11-03-2020,9.6
12-03-2020,0.0
13-03-2020,0.0
14-03-2020,1.2
15-03-2020,5.2
16-03-2020,6.6
17-03-2020,9.5
18-03-2020,5.5
19-03-2020,9.6
20-03-2020,8.5
21-03-2020,9.6
22-03-2020,0.0
23-03-2020,0.5
24-03-2020,0.0
25-03-2020,1.0
26-03-2020,10.3
27-03-2020,2.0
28-03-2020,9.6
29-03-2020,9.6
30-03-2020,0.5
31-03-2020,19.5
01-04-2020,3.4
02-04-2020,64.7
03-04-2020,1.1
04-04-2020,8.4
05-04-2020,8.4
06-04-2020,7.7
07-04-2020,10.1
08-04-2020,1.4
09-04-2020,0.0
10-04-2020,2.0
11-04-2020,1.0
12-04-2020,2.8
13-04-2020,31.6
14-04-2020,8.4
15-04-2020,0.0
16-04-2020,8.4
17-04-2020,0.0
18-04-2020,0.0
19-04-2020,8.4
20-04-2020,0.8
21-04-2020,48.0
22-04-2020,11.5
23-04-2020,0.0
24-04-2020,0.0
25-04-2020,2.2
26-04-2020,8.4
27-04-2020,2.3
28-04-2020,8.4
29-04-2020,2.0
30-04-2020,0.0
01-05-2020,0.0
02-05-2020,29.1
03-05-2020,0.0
04-05-2020,9.4
05-05-2020,0.0
06-05-2020,0.0
07-05-2020,22.1
08-05-2020,9.4
09-05-2020,0.0
10-05-2020,31.0
