Nilai Aktual,Nilai Prediksi
96.6,11.190594
0.0,22.71892
43.0,15.274288
9.0,17.977013
0.5,14.211538
0.0,11.177543
23.3,9.445578
0.2,11.722025
0.0,9.655922
0.0,8.654758
4.7,8.046013
18.1,8.29741
3.0,10.201423
10.7,9.226228
0.1,9.739753
14.5,8.556088
18.9,9.754253
23.2,10.972798
0.0,12.270039
29.2,9.9153595
14.5,12.478543
14.5,11.905575
2.1,11.639035
14.5,9.794405
0.5,10.391335
2.9,8.808973
0.0,8.232106
0.1,7.4655023
0.0,6.997908
0.0,6.6658764
0.0,6.4168587
0.0,6.2291756
0.0,6.0640163
20.5,5.917662
0.1,8.317011
0.0,7.271204
0.0,6.5736823
0.0,6.087534
0.0,5.717431
0.0,5.457128
0.0,5.2659
0.0,5.1082063
0.0,4.9750023
2.9,4.861514
0.0,5.103551
0.0,4.89347
0.0,4.7234945
0.0,4.59157
41.4,4.4820576
0.0,9.322594
16.0,7.627141
0.0,8.399357
0.0,6.9804273
2.9,6.059222
2.9,5.8212547
0.0,5.6737204
7.5,5.2394094
20.2,5.8423185
62.5,7.806202
7.2,14.432616
0.0,11.709413
0.0,9.1259365
7.2,7.5555143
0.0,7.485646
0.0,6.556887
25.4,6.004505
0.0,8.844661
4.4,7.448628
1.5,7.173591
0.0,6.626355
29.8,6.091021
33.5,9.457243
0.4,12.1222
0.0,9.556124
0.0,7.978953
7.2,6.98464
7.2,7.257635
0.0,7.4198666
0.0,6.621317
0.4,6.1247125
0.0,5.8348117
0.2,5.5840573
0.0,5.4254713
0.0,5.276992
3.0,5.1503744
5.6,5.403552
25.0,5.857957
0.0,8.499548
0.0,7.1771398
0.0,6.2988453
5.2,5.7149153
1.7,5.9517775
11.8,5.681712
1.7,6.715693
4.2,6.171028
0.0,6.108967
0.0,5.558947
0.0,5.1889386
0.0,4.937756
0.0,4.7623143
1.7,4.6343217
1.7,4.7364154
0.0,4.7930646
0.0,4.6156693
0.0,4.4774275
0.0,4.3703895
0.0,4.2834415
0.0,4.209944
1.7,4.145619
0.0,4.2718587
1.7,4.161666
0.0,4.26086
0.0,4.129921
0.0,4.025525
0.0,3.9451013
1.7,3.8818905
0.0,4.026961
5.2,3.9264622
41.5,4.4380445
1.6,9.0528345
0.0,7.550354
0.0,6.2724485
0.0,5.4499416
0.0,4.9270883
0.0,4.6013875
0.0,4.399085
0.0,4.2652736
1.6,4.1848054
0.0,4.315505
0.0,4.2173033
0.0,4.1405745
0.0,4.0716677
1.6,4.0124364
0.0,4.1549206
0.0,4.0617547
1.6,3.983328
0.0,4.10325
1.6,3.9966466
0.0,4.096041
1.6,3.978321
0.0,4.0696383
0.0,3.9484894
0.0,3.8548157
1.6,3.7868035
0.0,3.919337
0.0,3.8272102
1.6,3.7525907
0.0,3.8747795
2.1,3.7838993
0.0,3.9521358
0.0,3.8329182
0.0,3.7390454
0.0,3.674437
2.1,3.6254659
0.0,3.831766
0.0,3.7388299
2.1,3.665114
1.4,3.8532293
0.0,3.9096308
3.6,3.7838142
9.6,4.1034203
0.0,5.0285854
1.0,4.575289
0.0,4.3506894
0.0,4.0959835
0.0,3.9268339
2.1,3.8178194
2.1,3.9885032
0.0,4.114666
0.0,3.9589064
37.5,3.8459854
0.3,8.142953
2.1,6.791936
1.4,6.009384
0.5,5.4333134
2.1,4.9632564
0.0,4.85453
2.1,4.5533185
0.0,4.6020327
10.3,4.388589
42.8,5.4607906
0.0,10.128921
0.0,8.090287
10.1,6.7265973
0.0,7.0853424
5.6,6.120785
16.5,6.1851606
1.4,7.580771
5.6,6.6680894
0.0,6.5997562
0.0,5.884277
0.0,5.425075
27.0,5.1273284
0.0,8.209557
5.6,6.954294
0.0,6.821269
0.0,6.051995
25.0,5.550581
1.3,8.268713
0.2,7.156029
0.2,6.3039503
0.0,5.7499743
0.0,5.362805
5.6,5.1048737
0.0,5.6002617
21.6,5.2504067
1.2,7.6108513
0.0,6.707598
5.6,5.954241
7.0,6.129845
12.6,6.4174094
4.2,7.2895274
12.5,6.843594
0.0,7.5659566
37.0,6.5145183
0.6,10.40233
0.0,8.402247
12.5,7.088669
36.3,7.8078575
12.5,11.296359
0.0,10.505498
0.0,8.466699
0.5,7.231401
10.0,6.5258164
0.0,7.2795806
0.2,6.5032854
1.5,6.0548806
5.2,5.919585
92.6,6.2758408
12.5,17.571507
0.5,14.334292
7.8,10.970322
0.0,9.91409
1.4,8.221034
59.0,7.4082704
12.5,14.466263
12.5,12.5207815
10.8,11.596085
12.5,10.809089
6.2,10.583604
0.3,9.60867
29.6,8.272839
4.3,11.38826
0.8,9.803198
15.6,8.523865
1.8,9.695757
0.0,8.523044
1.7,7.6251917
2.5,7.2746596
9.0,7.12492
53.2,7.8348074
2.0,13.996857
60.0,10.994275
7.5,17.098999
1.8,13.465157
0.8,10.800686
8.9,9.081003
13.8,9.120593
0.0,9.759484
9.0,8.316605
0.0,8.696294
1.8,7.699984
4.4,7.350519
19.0,7.437071
8.9,9.343876
0.1,9.179086
0.0,7.956617
11.5,7.1845794
0.4,8.128662
0.8,7.261216
9.0,6.769667
1.2,7.4526763
3.5,6.8736486
14.0,6.778131
2.5,8.00066
7.5,7.309006
0.2,7.494425
18.1,6.681517
26.7,8.371499
5.7,10.533584
0.0,9.247967
0.0,7.750274
31.9,6.8064866
0.0,10.224455
6.5,8.3157425
14.5,8.015204
10.6,8.82688
0.9,8.842285
3.4,7.634554
22.8,7.185742
41.5,9.365353
0.2,13.1847105
17.4,10.167243
14.0,10.687798
11.0,10.516403
0.0,10.033566
2.0,8.331684
7.4,7.5903997
5.8,7.8175225
100.0,7.741295
58.0,20.092035
2.6,22.08501
60.5,15.555642
43.5,20.399647
0.0,20.3617
47.0,14.053998
58.0,17.898306
49.3,21.361431
0.0,21.988749
16.1,14.816492
16.1,14.081636
2.0,13.468801
0.0,11.087689
0.0,9.709221
0.2,8.990464
33.0,8.623863
16.1,13.08156
16.1,12.966885
9.9,13.096336
4.8,12.253628
0.0,11.057164
0.0,9.683593
16.1,8.859627
1.8,10.50927
1.5,9.385573
33.8,8.739785
2.3,12.646859
16.1,10.530796
5.9,11.296422
13.6,10.251137
1.8,10.680822
3.4,9.280558
38.0,8.679146
0.5,12.871016
0.0,10.2412405
1.6,8.7846365
52.6,8.061998
60.8,14.339384
7.0,19.271017
46.0,14.689746
0.0,17.840403
0.0,12.849741
0.0,10.3497305
1.0,8.865742
51.7,8.1347275
3.0,14.648222
3.0,11.522335
13.6,10.088455
29.4,10.654962
0.2,13.091494
13.6,10.427462
13.2,10.876201
0.0,10.982096
13.6,9.246423
7.2,10.100545
3.2,9.653655
0.8,8.87712
16.2,8.0816145
13.6,9.598347
13.0,10.1026535
5.3,10.311313
0.0,9.410135
5.3,8.182408
1.4,8.085247
3.6,7.4704413
5.3,7.364283
44.8,7.464564
4.8,12.582836
0.0,10.5002
0.0,8.730487
0.0,7.61511
3.0,6.8940306
5.3,6.8035336
12.4,7.012376
6.4,8.022415
0.0,7.8848906
0.2,6.9807925
0.2,6.4225883
0.0,6.0388126
0.0,5.743224
0.0,5.5271153
10.6,5.36022
0.0,6.5112042
0.0,5.9490886
0.0,5.5601654
44.8,5.2798223
5.3,10.527152
0.0,9.123999
0.0,7.5608897
0.0,6.5572586
