Nilai Aktual,Nilai Prediksi
1560,96.6,20.238678
1561,0.0,-19.444918
1562,43.0,4.4015117
1563,9.0,11.983852
1564,0.5,11.7032385
1565,0.0,1.9531221
1566,23.3,-5.404914
1567,0.2,25.409119
1568,0.0,26.729113
1569,0.0,13.983126
1570,4.7,6.1135364
1571,18.1,4.3861566
1572,3.0,4.5263944
1573,10.7,6.6145086
1574,0.1,5.9540377
1575,14.5,6.1936283
1576,18.9,6.550208
1577,23.2,5.8955383
1578,0.0,6.3937516
1579,29.2,20.911755
1580,14.5,38.00107
1581,14.5,46.828873
1582,2.1,15.346883
1583,14.5,-0.90873045
1584,0.5,13.601596
1585,2.9,15.921131
1586,0.0,15.838623
1587,0.1,19.172695
1588,0.0,20.347343
1589,0.0,15.702879
1590,0.0,8.449001
1591,0.0,9.105912
1592,0.0,9.617371
1593,20.5,9.84083
1594,0.1,7.633353
1595,0.0,10.015481
1596,0.0,5.624766
1597,0.0,4.7316504
1598,0.0,5.2010384
1599,0.0,4.664284
1600,0.0,3.97399
1601,0.0,3.2948184
1602,0.0,3.0684566
1603,2.9,1.6261537
1604,0.0,4.3850765
1605,0.0,3.9256358
1606,0.0,3.5318294
1607,0.0,3.3002756
1608,41.4,3.1518111
1609,0.0,5.702885
1610,16.0,7.3827496
1611,0.0,4.7714977
1612,0.0,7.2551017
1613,2.9,5.3602986
1614,2.9,3.3926837
1615,0.0,1.277508
1616,7.5,1.0855043
1617,20.2,3.6756375
1618,62.5,5.256809
1619,7.2,3.7549138
1620,0.0,0.44429615
1621,0.0,13.846389
1622,7.2,27.064152
1623,0.0,24.191921
1624,0.0,11.760901
1625,25.4,5.152469
1626,0.0,11.307829
1627,4.4,7.3896685
1628,1.5,6.85203
1629,0.0,5.581728
1630,29.8,3.183144
1631,33.5,9.504645
1632,0.4,8.842272
1633,0.0,9.078839
1634,0.0,8.924275
1635,7.2,2.2185895
1636,7.2,2.1459298
1637,0.0,5.048199
1638,0.0,5.707631
1639,0.4,6.950779
1640,0.0,5.3324313
1641,0.2,4.5774617
1642,0.0,5.9725146
